epoch,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,train/reward,stats_g/std,test/mean_Q,train/episode,test/success_rate,test/episode,test/steps,train/steps,test/reward
0,-0.060801134,0.0,1.131614,-0.06324766,-238.01633295475534,0.99670076,-3.4763992,30.0,0.0,20.0,1000.0,1500.0,-293.3648211657687
1,0.023206184,0.0,1.1293862,0.019397415,-238.888287671091,0.9724102,-4.652671,60.0,0.0,40.0,2000.0,3000.0,-283.8581206247188
2,0.032041498,0.0,1.1052433,0.051512137,-146.82747648446994,0.9609791,-5.0244746,90.0,0.0,60.0,3000.0,4500.0,-246.1857280034531
3,-0.009228378,0.016666666666666666,1.073482,0.013105903,-128.60129847021562,0.9472591,-5.4605293,120.0,0.0,80.0,4000.0,6000.0,-265.8223829314876
4,-0.008132326,0.0,1.0423231,0.011298063,-221.49176292825848,0.9276834,-5.795582,150.0,0.0,100.0,5000.0,7500.0,-150.29354443043957
5,-0.0060477555,0.0,1.0192246,-0.01186209,-114.3873990799232,0.92016345,-5.0524015,180.0,0.0,120.0,6000.0,9000.0,-78.54893267123771
6,-0.0013415674,0.0,0.995453,0.0014634077,-126.20828988329578,0.9141934,-5.4160624,210.0,0.05,140.0,7000.0,10500.0,-97.3452864452843
7,-0.0027681352,0.0,0.97735095,-0.0039512524,-152.10433751348614,0.9122335,-4.6816354,240.0,0.1,160.0,8000.0,12000.0,-84.75404943445852
8,-0.0014324475,0.016666666666666666,0.9607498,-0.0010880609,-175.79647685994144,0.90610254,-5.78168,270.0,0.07500000000000001,180.0,9000.0,13500.0,-106.50519598295348
9,-0.0019691624,0.03333333333333333,0.94601,0.0052043577,-89.59019790031083,0.9036829,-4.937558,300.0,0.35,200.0,10000.0,15000.0,-107.79480977848556
10,-0.0041471627,0.16666666666666669,0.93238497,0.005387561,-58.92612081427191,0.90426606,-5.8731017,330.0,0.575,220.0,11000.0,16500.0,-98.92096804445134
11,0.0010010338,0.23333333333333334,0.92274415,0.0014658812,-146.37686798175235,0.9031828,-5.7957945,360.0,0.5,240.0,12000.0,18000.0,-81.22112405661693
12,-0.0027177369,0.18333333333333335,0.9150095,0.006478154,-128.90697340622393,0.9023669,-5.455695,390.0,0.625,260.0,13000.0,19500.0,-79.03041378472551
13,-5.193439e-05,0.21666666666666667,0.90700346,0.0064168544,-123.4790598403185,0.9027154,-6.5806875,420.0,0.22499999999999998,280.0,14000.0,21000.0,-97.83397224811824
14,0.0030431426,0.21666666666666667,0.90086013,0.0098641645,-90.67004927404535,0.8998478,-6.089314,450.0,0.625,300.0,15000.0,22500.0,-60.48618918478467
