epoch,test/success_rate,test/steps,stats_g/std,test/mean_Q,train/steps,test/episode,train/episode,stats_g/mean,train/reward,stats_o/mean,test/reward,train/success_rate,stats_o/std
0,0.0,1000.0,0.9944109,-3.6481771,1500.0,20.0,30.0,0.14763168,-218.35390038275074,0.17652857,-268.87068499309703,0.0,1.1697807
1,0.0,2000.0,0.9554907,-3.7424848,3000.0,40.0,60.0,0.083800875,-223.8630300429744,0.1103165,-169.2808138397146,0.0,1.1362042
2,0.0,3000.0,0.9236294,-4.214494,4500.0,60.0,90.0,0.059455745,-197.12635156974966,0.045169227,-129.03550437523478,0.0,1.1095864
3,0.0,4000.0,0.8976598,-5.732066,6000.0,80.0,120.0,0.050027877,-175.20048419633787,0.040590987,-162.4504011613659,0.0,1.0747452
4,0.025,5000.0,0.89684594,-5.4672575,7500.0,100.0,150.0,0.025573757,-205.73339999104758,0.018953092,-133.33552431417036,0.0,1.0498208
5,0.1,6000.0,0.8961627,-4.741708,9000.0,120.0,180.0,0.02361042,-190.45789715790139,0.017555855,-168.2135942776598,0.0,1.0265524
6,0.2,7000.0,0.8924365,-5.774068,10500.0,140.0,210.0,0.028182691,-249.94570012986046,0.01757372,-78.03500714860317,0.05,1.0042778
7,0.775,8000.0,0.8877169,-5.1266084,12000.0,160.0,240.0,0.025738044,-142.5164980782701,0.017294781,-84.86561906194176,0.16666666666666666,0.98410225
8,0.875,9000.0,0.88743836,-5.3865175,13500.0,180.0,270.0,0.018194277,-164.54138353478305,0.015127759,-79.99163857475372,0.18333333333333335,0.9699504
9,0.95,10000.0,0.88636243,-5.1183825,15000.0,200.0,300.0,0.021443784,-109.72857776620117,0.01441919,-37.532672388858046,0.31666666666666665,0.9535836
10,0.975,11000.0,0.88550425,-4.86689,16500.0,220.0,330.0,0.017811602,-88.6117277335544,0.015586805,-77.68283033573053,0.35,0.93877244
11,0.95,12000.0,0.8861019,-5.213132,18000.0,240.0,360.0,0.01297442,-93.65480147640267,0.013304746,-70.68193883050445,0.3666666666666667,0.9276171
12,0.95,13000.0,0.887085,-5.546084,19500.0,260.0,390.0,0.01411045,-113.89692009697012,0.014859838,-94.24516614120253,0.33333333333333337,0.9202516
13,0.95,14000.0,0.8870349,-6.90571,21000.0,280.0,420.0,0.018512264,-133.78292799800155,0.013700712,-101.57519056039732,0.3333333333333333,0.9128547
14,1.0,15000.0,0.8882594,-5.305849,22500.0,300.0,450.0,0.018101739,-95.39279981703847,0.011917058,-55.77089963802506,0.31666666666666665,0.90666044
