epoch,test/mean_Q,train/episode,stats_g/mean,test/episode,train/success_rate,train/reward,stats_g/std,stats_o/std,test/success_rate,train/steps,test/steps,stats_o/mean,test/reward
0,-3.0890605,30.0,0.01625738,20.0,0.0,-237.49927060733768,0.99184906,1.1647232,0.0,1500.0,1000.0,-0.037748173,-223.03613439431854
1,-3.6724036,60.0,0.050992712,40.0,0.0,-264.568354259633,0.96797526,1.140136,0.0,3000.0,2000.0,0.0066795927,-186.4529113553374
2,-4.437084,90.0,0.049295906,60.0,0.0,-168.3992812363357,0.93282735,1.0899913,0.0,4500.0,3000.0,0.034665212,-138.06149072409713
3,-5.071726,120.0,0.04810117,80.0,0.0,-196.31522313858568,0.9101872,1.050364,0.0,6000.0,4000.0,0.043468148,-141.6351268757749
4,-5.777817,150.0,0.018838694,100.0,0.0,-150.4331501525229,0.8985841,1.0245218,0.0,7500.0,5000.0,0.023133827,-196.91315914589643
5,-5.8260536,180.0,0.025496047,120.0,0.0,-145.7780417072554,0.88323736,1.0042591,0.025,9000.0,6000.0,0.033806343,-122.48484348870097
6,-4.497637,210.0,0.015934592,140.0,0.016666666666666666,-140.97479421675365,0.8805546,0.9862046,0.35,10500.0,7000.0,0.03195226,-48.61439249139332
7,-6.2222877,240.0,0.019570902,160.0,0.03333333333333333,-123.18505682197826,0.874842,0.96896964,0.6499999999999999,12000.0,8000.0,0.029604897,-82.23925036356427
8,-4.723442,270.0,0.015941333,180.0,0.15,-76.43403937374094,0.8768085,0.9536687,0.975,13500.0,9000.0,0.020951591,-85.32820583331839
9,-5.1455784,300.0,0.010559456,200.0,0.3,-188.1760520716232,0.8776824,0.94301784,0.975,15000.0,10000.0,0.01580771,-100.05026460076937
10,-4.777196,330.0,0.0085874805,220.0,0.3833333333333333,-128.41828049061255,0.876878,0.93187416,1.0,16500.0,11000.0,0.013726594,-70.2255933915634
11,-5.476265,360.0,0.009980144,240.0,0.3833333333333333,-52.00741339654529,0.8756831,0.9197113,1.0,18000.0,12000.0,0.015549999,-75.841188876364
12,-5.3513813,390.0,0.00032022875,260.0,0.4,-93.83750516258237,0.87593406,0.9091589,1.0,19500.0,13000.0,0.01424331,-45.983368196848915
13,-6.052627,420.0,0.002048525,280.0,0.4666666666666667,-73.28257561465611,0.87634325,0.9023036,1.0,21000.0,14000.0,0.01581253,-71.0408040594806
14,-5.590483,450.0,0.0016095748,300.0,0.3666666666666667,-67.53106251178104,0.8772958,0.89574766,1.0,22500.0,15000.0,0.01841372,-61.76767523221951
15,-6.071809,480.0,0.0052043353,320.0,0.31666666666666665,-71.17946833397467,0.87847215,0.8889954,1.0,24000.0,16000.0,0.018420335,-84.32823411246235
16,-5.3997116,510.0,0.0064385626,340.0,0.2833333333333333,-117.0863172069522,0.8782679,0.8827295,1.0,25500.0,17000.0,0.017823638,-38.188586895931586
17,-5.741889,540.0,-0.0018340454,360.0,0.4,-104.29130811258433,0.8810823,0.878416,1.0,27000.0,18000.0,0.0151801575,-63.50504457999939
18,-6.5119796,570.0,-0.0032771188,380.0,0.35,-84.84470678479926,0.88156545,0.87455904,1.0,28500.0,19000.0,0.011910802,-31.543383436702694
19,-6.1542864,600.0,-0.003445247,400.0,0.45,-95.77554119884232,0.8823944,0.87007815,1.0,30000.0,20000.0,0.012027232,-93.23820949464202
