test/mean_Q,train/episode,stats_o/std,stats_o/mean,stats_g/mean,train/reward,test/success_rate,train/steps,stats_g/std,epoch,test/steps,train/success_rate,test/reward,test/episode
-3.6045132,30.0,1.2399389,0.12450514,0.121475525,-362.6125323609814,0.0,1500.0,1.0689638,0,1000.0,0.0,-266.93783278077916,20.0
-4.66661,60.0,1.1871932,0.09551494,0.06505065,-249.6866491038888,0.0,3000.0,1.023777,1,2000.0,0.0,-214.58377051126416,40.0
-5.0064263,90.0,1.1306536,0.06365732,0.031418875,-175.8570333963167,0.0,4500.0,0.98483896,2,3000.0,0.0,-198.85780418789705,60.0
-5.273431,120.0,1.1022831,0.0367377,0.032852866,-168.25195197622173,0.0,6000.0,0.9731898,3,4000.0,0.0,-216.272787811615,80.0
-5.997388,150.0,1.0665252,0.026558794,0.014206819,-156.1158372928114,0.0,7500.0,0.9693117,4,5000.0,0.0,-241.88968966218005,100.0
-5.185542,180.0,1.0419724,0.025926411,0.013813244,-173.50527024976864,0.0,9000.0,0.9537208,5,6000.0,0.0,-125.92556513623448,120.0
-5.3044434,210.0,1.021019,0.02467064,0.01324804,-111.61125157697842,0.0,10500.0,0.94347245,6,7000.0,0.0,-104.39945710523526,140.0
-5.953101,240.0,0.9986849,0.015399785,0.010250959,-132.92133970197182,0.025,12000.0,0.9341997,7,8000.0,0.0,-130.9713266735317,160.0
-5.442758,270.0,0.97840774,0.009880247,0.008969616,-175.3065331508243,0.15000000000000002,13500.0,0.93024033,8,9000.0,0.0,-108.41660267707306,180.0
-5.417681,300.0,0.96382,0.008301629,0.010090147,-78.29390437521988,0.1,15000.0,0.93017006,9,10000.0,0.05,-81.87513918090457,200.0
-4.7284646,330.0,0.9511707,0.008337342,0.011635338,-118.53154842555423,0.25,16500.0,0.9291547,10,11000.0,0.06666666666666667,-102.30790351093961,220.0
-5.489985,360.0,0.9399611,0.009137288,0.0044228565,-152.90676887285414,0.475,18000.0,0.9260142,11,12000.0,0.15,-78.30199100203666,240.0
-5.5557323,390.0,0.9324734,0.01103094,0.0051338933,-83.12154031039404,0.75,19500.0,0.928822,12,13000.0,0.2,-50.03424587841704,260.0
-5.9313464,420.0,0.9236311,0.006404277,0.0009225756,-130.466739863758,0.375,21000.0,0.9258138,13,14000.0,0.21666666666666667,-63.692441781869206,280.0
-6.12915,450.0,0.9147029,0.008721647,0.0071715266,-82.68577228694906,0.55,22500.0,0.92090726,14,15000.0,0.11666666666666667,-69.07722351206196,300.0
