train/reward,train/steps,test/mean_Q,train/success_rate,train/episode,stats_o/std,epoch,stats_g/std,test/episode,stats_g/mean,stats_o/mean,test/reward,test/steps,test/success_rate
-207.54930016921426,1500.0,-2.7781699,0.0,30.0,1.0676069,0,0.92336935,20.0,-0.07134718,-0.044037253,-214.41250580885608,1000.0,0.0
-188.06592675583087,3000.0,-3.7350438,0.0,60.0,1.037343,1,0.89391345,40.0,-0.03987767,-0.01603218,-174.01317832080227,2000.0,0.0
-205.85508489277854,4500.0,-4.3296905,0.0,90.0,1.0129441,2,0.87318754,60.0,-0.015784685,-0.018214926,-180.4415035173291,3000.0,0.008333333333333333
-144.14968600241642,6000.0,-4.136119,0.005555555555555556,120.0,0.9933041,3,0.8657983,80.0,-0.009653669,-0.017595861,-139.18847513469103,4000.0,0.125
-145.86646132493783,7500.0,-4.7464414,0.016666666666666666,150.0,0.9720339,4,0.8522194,100.0,-0.01225792,-0.009324217,-127.59930300306901,5000.0,0.375
-127.6864552933473,9000.0,-4.710714,0.03888888888888889,180.0,0.9585213,5,0.84935504,120.0,-0.00891489,-0.0019325648,-133.65897175820928,6000.0,0.5916666666666667
-151.893153602325,10500.0,-4.2601075,0.12222222222222223,210.0,0.94449025,6,0.8471648,140.0,-0.0037811075,-0.002236208,-111.89804733277104,7000.0,0.8916666666666667
-99.48704144834564,12000.0,-4.6169925,0.16666666666666666,240.0,0.93346137,7,0.8472031,160.0,-0.0050897663,-0.0005380886,-98.51187196103275,8000.0,0.9166666666666666
-115.58361881044131,13500.0,-4.7901936,0.27777777777777773,270.0,0.92168665,8,0.84959334,180.0,-0.0012696779,-0.003164919,-83.98201227457743,9000.0,0.9583333333333334
-125.7628492674224,15000.0,-5.337324,0.3444444444444444,300.0,0.9111083,9,0.85123426,200.0,-0.006438777,-0.0055491854,-90.54154067005886,10000.0,1.0
-85.7429200431165,16500.0,-4.9454365,0.36666666666666664,330.0,0.9023507,10,0.8533713,220.0,-0.0036005834,-0.0057638492,-66.67727815372334,11000.0,0.9833333333333334
-107.82824626996155,18000.0,-4.6508193,0.4222222222222222,360.0,0.89273787,11,0.85485107,240.0,-0.0049233474,-0.0017520924,-76.44887315001215,12000.0,1.0
-121.27966175683967,19500.0,-5.288542,0.3499999999999999,390.0,0.8856651,12,0.8576639,260.0,0.0005824091,0.00045108702,-82.40058585220017,13000.0,1.0
-93.15181382423214,21000.0,-4.729119,0.41111111111111115,420.0,0.87877035,13,0.858985,280.0,0.00039538555,-0.0014331477,-62.39240471428662,14000.0,1.0
-88.74210324945943,22500.0,-5.113543,0.4222222222222222,450.0,0.87417597,14,0.861911,300.0,-0.0026493275,-0.00083905965,-61.24496119531225,15000.0,1.0
